address_city_s,address_postal_code_s,address_state_code_s,address_street_s,bank_statement_c,company_id_c,company_name_c,company_short_id_c,created_date,email_c,entity_name_c,identity_verification_enabled_c,last_modified_date,name,not_orphan_record_c,paystub_c,phone_c,phone_is_required_c,reverse_etl_id_c,short_id_c,snappt_property_id_c,status_c,trigger_rollups_c,unit_c,unit_is_required_c
Winchester,37398,TN,63 Farm View Cir,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-07 03:28:19,ashercreekllc@gmail.com,,False,2025-11-07 03:28:19,63 Farm View Cir 438243,False,2,18444762778,True,bdf529c7-d011-4bc2-ba4b-b5c83471ec8d,77cf1b5f70,bdf529c7-d011-4bc2-ba4b-b5c83471ec8d,ACTIVE,True,1,True
Mount Pleasant,29464,SC,1408 Goblet Ave,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-07 03:01:05,hudson@theboroughs.com,,False,2025-11-07 03:01:05,1408 Goblet Ave 798981,False,2,18444762778,True,7b9692f1-f9e3-4261-8120-365c219c2bd1,067b601ff9,7b9692f1-f9e3-4261-8120-365c219c2bd1,ACTIVE,True,1,True
Houston,77038,TX,"2607 Amber Thicket Ct., Houston, TX 77038",2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-07 00:34:02,thaiinvestmentproperties@yahoo.com,,False,2025-11-07 00:34:02,"2607 Amber Thicket Ct., Houston, TX 77038 247926",False,2,18444762778,True,2dafbc12-5675-4c37-88dd-03de8649bdc0,890db16e36,2dafbc12-5675-4c37-88dd-03de8649bdc0,ACTIVE,True,1,True
Columbia,65203,MO,100 E Stewart Rd,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-07 00:21:53,eaststewartflats@gmail.com,,False,2025-11-07 00:21:53,100-104 E Stewart Rd 609154,False,2,18444762778,True,6810f281-a597-43e3-8a89-b1564fbe371f,913e9a8d2d,6810f281-a597-43e3-8a89-b1564fbe371f,ACTIVE,True,24,True
Saginaw,48603,MI,3425-3427 Northwest Dr,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-06 23:10:09,gardengatemanagement@gmail.com,,False,2025-11-06 23:10:09,GGM02 - 3425-3427 Northwest Dr 719561,False,2,18444762778,True,9ee80a9a-33cf-44d2-8ae7-ccd9a8ffb9ca,d604d7d2a7,9ee80a9a-33cf-44d2-8ae7-ccd9a8ffb9ca,ACTIVE,True,2,True
Atlanta,30316,GA,1540 Eastland Rd SE,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-06 22:01:57,rafechapple@gmail.com,,False,2025-11-06 22:01:57,Eastland Rd - House 633329,False,2,18444762778,True,090a39c3-b516-4143-b3d3-ea1bbf70abe6,c340dbf879,090a39c3-b516-4143-b3d3-ea1bbf70abe6,ACTIVE,True,1,True
MARLBORO,07765,NJ,248 ROUTE 79,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-06 21:48:29,tenantmgt@gmail.com,,False,2025-11-06 21:48:29,Marlboro Equities LLC 761999,False,2,18444762778,True,c8d67f92-18bf-4d4a-89ed-6b7dd658d0be,11ac70a8fa,c8d67f92-18bf-4d4a-89ed-6b7dd658d0be,ACTIVE,True,4,True
Minot,58701,ND,500 18th Avenue Southeast,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-06 21:34:10,BandMRealEstate@outlook.com,,False,2025-11-06 21:34:10,South Park Terrace Fifth Addition Lot 11 Block 2 249266,False,2,18444762778,True,1cafc536-7481-473d-84d2-7c5d5b64e4ab,bac8a0ce97,1cafc536-7481-473d-84d2-7c5d5b64e4ab,ACTIVE,True,3,True
Cincinnati,45213,OH,3644 Zinsle Avenue,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-06 21:13:05,camela@jacobsgroup.us,,False,2025-11-06 21:13:05,Zinsle Flats 201380,False,2,18444762778,True,9aa7de59-4594-43d2-9c75-ed90414e0915,9c8b4dad80,9aa7de59-4594-43d2-9c75-ed90414e0915,ACTIVE,True,2,True
Smyrna,30080,GA,688 Inglewood Dr,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-06 20:40:00,dj@prudentpg.com,,False,2025-11-06 20:40:00,688 Inglewood Dr 289480,False,2,18444762778,True,840e428b-e766-4fb7-bbb9-d3603acb058f,a04a696b28,840e428b-e766-4fb7-bbb9-d3603acb058f,ACTIVE,True,1,True
