address_city_s,address_postal_code_s,address_state_code_s,address_street_s,bank_statement_c,company_id_c,company_name_c,company_short_id_c,created_date,email_c,entity_name_c,identity_verification_enabled_c,last_modified_date,name,not_orphan_record_c,paystub_c,phone_c,phone_is_required_c,reverse_etl_id_c,short_id_c,snappt_property_id_c,status_c,trigger_rollups_c,unit_c,unit_is_required_c
Orion,61273,IL,1001 6th St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-16 20:34:07,siriusrentals@gmail.com,,False,2025-09-16 20:34:07,Woodridge Apartments 1001 3f02e4f8-0d86-49e7-b970-768e8e7c79f8,False,2,18444762778,True,a7713eef-91b1-453e-ab19-7020d1d8d123,291a9cdacc,a7713eef-91b1-453e-ab19-7020d1d8d123,ACTIVE,True,6,True
South Bend,46628,IN,334 N Walnut St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-16 20:08:52,brett@baronmg.com,,False,2025-09-16 20:08:52,334 N Walnut 7165daaf-d24e-4c1d-9f2c-2b2b3d242339,False,2,18444762778,True,4feda6c6-2340-4ac9-9300-45cf5f465645,225d044eda,4feda6c6-2340-4ac9-9300-45cf5f465645,ACTIVE,True,1,True
South Salt Lake,84115,UT,2736 S Adams St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-16 20:08:38,info@magnussenapt.com,,False,2025-09-16 20:08:38,Magnussen Apartments 6f4fe78f-bf98-4d70-ba90-83a3f0d845b3,False,2,18444762778,True,0e02e9bf-4093-4198-adca-9701fa258bca,99a05be0f2,0e02e9bf-4093-4198-adca-9701fa258bca,ACTIVE,True,13,True
Fort Mitchell,36856,AL,31 Fallowfield Dr,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-16 19:40:10,fombyrentalmanagement@gmail.com,,False,2025-09-16 19:40:10,31 FallowField All Inclusive 5cb9908e-9134-429e-9b00-f9fa8c6bc471,False,2,18444762778,True,f69bee18-d10c-4c6f-b88a-ad156aa71471,aea5db890b,f69bee18-d10c-4c6f-b88a-ad156aa71471,ACTIVE,True,1,True
Citrus County,34452,FL,S Cherokee Terrace,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-16 18:54:18,kdpropertiesFL@yahoo.com,,False,2025-09-16 18:54:18,Cheroke d5580520-6774-4eb0-9133-d02195f7fe4a,False,2,18444762778,True,4e551340-be34-46cb-9e98-a817a1b1163b,aa82d06a1b,4e551340-be34-46cb-9e98-a817a1b1163b,ACTIVE,True,2,True
Montgomery,36109,AL,1130 Lombard Dr,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-16 18:22:53,davidandrewwallace@gmail.com,,False,2025-09-16 18:22:53,1130 Lombard Drive be8cfd16-3148-44ee-bdb5-4be588026a18,False,2,18444762778,True,693953ce-40bf-4f4d-b2ee-db6927a4d5ee,06aa9cbf39,693953ce-40bf-4f4d-b2ee-db6927a4d5ee,ACTIVE,True,1,True
South Bend,46628,IN,2517 Kenwood Ave,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-16 15:53:50,brett@baronmg.com,,False,2025-09-16 15:53:50,2517 kenwood cd561618-df97-46aa-9c66-eec858300d00,False,2,18444762778,True,139796f9-0a7f-4db5-b195-920bb3f74fd3,ff626ac6db,139796f9-0a7f-4db5-b195-920bb3f74fd3,ACTIVE,True,1,True
Trenton,08611,NJ,670 S Broad St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-16 15:47:08,tmgroupnj@gmail.com,,False,2025-09-16 15:47:08,GENERAL APPLICATION- Tm group eeec4fdc-da32-4790-b768-a39df5034d0d,False,2,18444762778,True,ddf59f8b-c64a-42a0-8334-3ec372f7c5de,26eca48ad6,ddf59f8b-c64a-42a0-8334-3ec372f7c5de,ACTIVE,True,1,True
Salt Lake City,84116,UT,151 N 8th W,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-16 15:33:45,pm@justinudy.com,,False,2025-09-16 15:33:45,151 N Holdings LLC 0defada4-9a2d-489e-adda-df0b067b9dbe,False,2,18444762778,True,a5203d6f-0337-41d5-b32c-2508680ced19,f7f93803e8,a5203d6f-0337-41d5-b32c-2508680ced19,ACTIVE,True,4,True
Lansing,48917,MI,3322 West Michigan Avenue,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-16 14:50:15,capitol_management@yahoo.com,,False,2025-09-16 14:50:15,3322 W Michigan 609f41af-212d-4b97-8400-e99cb626919c,False,2,18444762778,True,f6333d78-19dd-4025-ae5a-3e3c918c9f2a,73d8997f9f,f6333d78-19dd-4025-ae5a-3e3c918c9f2a,ACTIVE,True,7,True
Biloxi,39532,MS,The Retreat Biloxi- Villas 1735 Tribe Drive,2,4db117cf-e9b0-4968-aaea-c7fa08bd396d,Yardi Breeze,3p1PsjaQbp,2025-09-16 14:39:45,info@theretreatbiloxi.com,,False,2025-09-16 14:39:45,The Retreat Biloxi- Villas,False,2,18444762778,True,d595befe-660d-4476-b406-a2d2e7957f5a,58bb2ac557,d595befe-660d-4476-b406-a2d2e7957f5a,ACTIVE,True,92,True
Prosper,75078,TX,4420 South Legacy Drive,2,e4c12d26-aefe-4265-8c1b-3aee18484720,ZRS Management LLC,RZJKoZw9X1,2025-09-16 13:22:58,mhargrove@zrsmanagement.com,,True,2025-09-16 13:22:58,Royalton at Prosper,False,2,4699492697,True,d323fcee-6497-4d5a-a5d5-83466547365b,FCFX0DOvs6,d323fcee-6497-4d5a-a5d5-83466547365b,ACTIVE,True,270,True
Lonoke,72086,AR,316 Teresa Ln,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-16 11:59:19,copycart96@gmail.com,,False,2025-09-16 11:59:19,316 Teresa Ln 08889244-c6e0-41ae-bf70-ab95881f17ef,False,2,18444762778,True,a8e93725-3508-4e08-ae45-c1584d1cc068,ce3d71efe7,a8e93725-3508-4e08-ae45-c1584d1cc068,ACTIVE,True,1,True
Greenville,75401,TX,3430 Sockwell Blvd,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-16 06:46:31,parkviewaptstx@gmail.com,,False,2025-09-16 06:46:31,Parkview Apartments a9f3c0b1-eb20-49f4-b4be-6f557d476382,False,2,18444762778,True,b0614109-62bf-4616-a354-083edc4f51a9,6b48a9d672,b0614109-62bf-4616-a354-083edc4f51a9,ACTIVE,True,17,True
Houston,77025,TX,4018 Leeshire Dr,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-16 05:00:28,milesbazil2022@gmail.com,,False,2025-09-16 05:00:28,4018 Leeshire Dr ce06d02e-1523-4511-8a34-ba858270df49,False,2,18444762778,True,697b0305-e247-4629-8d2d-2f9cd9a9d50c,152b5e2068,697b0305-e247-4629-8d2d-2f9cd9a9d50c,ACTIVE,True,1,True
Columbus,31904,GA,803 Lichfield Rd,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-16 02:26:59,c28estates@gmail.com,,False,2025-09-16 02:26:59,803 Lichfield Rd 2e7eb233-c29c-4200-a51e-ea2c8b64b703,False,2,18444762778,True,d9c90a66-eafa-47cc-a417-3f6a357a971e,fdfe43a7cd,d9c90a66-eafa-47cc-a417-3f6a357a971e,ACTIVE,True,1,True
Galesburg,61401,IL,265 Duffield Ave,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-15 22:55:36,brickyard61401@gmail.com,,False,2025-09-15 22:55:36,265 Duffield Ave. c957526b-d43f-402b-80cc-97fde88224af,False,2,18444762778,True,61da54a7-04ae-4b53-9099-804b32c5440c,f4531471f9,61da54a7-04ae-4b53-9099-804b32c5440c,ACTIVE,True,2,True
Flora,62839,IL,733 West Maple,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-15 22:19:50,rhickox@tdandr.com,,False,2025-09-15 22:19:50,733 West Maple e8874f1f-401d-4574-a5aa-134ed07d2188,False,2,18444762778,True,29b006d3-cf90-416b-8a6d-9fe5eb0422a2,fa55023824,29b006d3-cf90-416b-8a6d-9fe5eb0422a2,ACTIVE,True,1,True
Richmond,23233,VA,2824 Guyana Dr,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-15 22:00:49,deepsonsrealty@gmail.com,,False,2025-09-15 22:00:49,"2824 Guyana Dr, Henrico, VA 23233 c18b2c21-50a0-4893-bfb7-24c6b29e133d",False,2,18444762778,True,31d35ee4-053c-4bba-8a90-addec7d97ae0,fee552d7ce,31d35ee4-053c-4bba-8a90-addec7d97ae0,ACTIVE,True,1,True
Cedartown,30125,GA,620 N College Dr,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-15 21:32:04,rentals@kvstechnologies.com,,False,2025-09-15 21:32:04,620 N College Dr 982b8b35-0b86-4434-a452-325c44769b56,False,2,18444762778,True,47326e6c-3fb0-480a-b923-0dc8025dd99e,fb79487676,47326e6c-3fb0-480a-b923-0dc8025dd99e,ACTIVE,True,8,True
West Monroe,71291,LA,405 Gulpha Dr,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-15 19:39:07,mdrgroupproperties@gmail.com,,False,2025-09-15 19:39:07,405 Gulpha Drive apartments ba2660fb-9dfa-4ee0-b913-013155ae1df6,False,2,18444762778,True,fc2df25e-dc7d-4d3a-8bf5-8f7e72ac42ae,11840d2b84,fc2df25e-dc7d-4d3a-8bf5-8f7e72ac42ae,ACTIVE,True,10,True
Shawnee,74801,OK,538 W Wood St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-15 19:07:12,matt@mattwillisok.com,,False,2025-09-15 19:07:12,538 W Wood cc109ccf-f8fa-4c1a-a3f4-b8230ccc6969,False,2,18444762778,True,07922bd7-81c0-484d-b9b8-ce3eb5ab2424,c35fce0f55,07922bd7-81c0-484d-b9b8-ce3eb5ab2424,ACTIVE,True,1,True
Billings,59101,MT,1738 Walter Creek Blvd,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-15 18:48:30,rrinvestmentgroupmt@gmail.com,,False,2025-09-15 18:48:30,Walter Creek 4c2be0b1-7c8e-447c-90f1-e205a69cdc5b,False,2,18444762778,True,3ef2f0ac-0957-4345-a7de-b15bb233ec6e,62676b7278,3ef2f0ac-0957-4345-a7de-b15bb233ec6e,ACTIVE,True,1,True
Detroit,48206,MI,3241 Cortland St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-15 18:32:48,quyen@envision-mi.com,,False,2025-09-15 18:32:48,3241 Cortland e004e58d-609d-40f9-ab7e-64d86dd249ea,False,2,18444762778,True,b9567997-687a-4c26-8412-22f7fdc09437,fedb0701fe,b9567997-687a-4c26-8412-22f7fdc09437,ACTIVE,True,1,True
Gardena,90248,CA,435 E Gardena Blvd,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-15 18:19:05,atoosa@home4up.com,,False,2025-09-15 18:19:05,Rancho Domingues MHP a25248f7-6d29-40a0-95ec-52962e17810f,False,2,18444762778,True,5322c307-7e67-4ae0-90f2-a41161f78ce5,0063e99cc7,5322c307-7e67-4ae0-90f2-a41161f78ce5,ACTIVE,True,1,True
Pataskala,43062,OH,166 S Main St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-15 16:39:48,heltonproperties1510@gmail.com,,False,2025-09-15 16:39:48,Pataskala Mobile Home Park 8f6c8f95-9b07-4833-a289-06c16bbce3f4,False,2,18444762778,True,918f3c66-9653-4477-a66f-19d87ec6ec95,579f851868,918f3c66-9653-4477-a66f-19d87ec6ec95,ACTIVE,True,24,True
Chester,23831,VA,12145 Calgary Lp,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-09-15 15:10:42,deepsonsrealty@gmail.com,,False,2025-09-15 15:10:42,"12145 Calgary Loop, Chester, VA 23836 c0938d02-77b5-4daa-9da0-7f819a7ceb6d",False,2,18444762778,True,872ec6ae-be68-4fb9-9add-3dae43be908a,3a85d5d659,872ec6ae-be68-4fb9-9add-3dae43be908a,ACTIVE,True,1,True
